index,key,value
1981-01-01,Japan,14.763
1981-04-01,Japan,9.321
1981-07-01,Japan,10.166
1981-10-01,Japan,19.509
1982-01-01,Japan,17.117
1982-04-01,Japan,10.617
1982-07-01,Japan,11.737
1982-10-01,Japan,20.961
1983-01-01,Japan,20.671
1983-04-01,Japan,12.235
1983-07-01,Japan,14.567
1983-10-01,Japan,24.363
1984-01-01,Japan,23.169
1984-04-01,Japan,16.296
1984-07-01,Japan,18.504
1984-10-01,Japan,29.938
1985-01-01,Japan,30.24
1985-04-01,Japan,20.28
1985-07-01,Japan,20.908
1985-10-01,Japan,36.169
1986-01-01,Japan,37.989
1986-04-01,Japan,32.366
1986-07-01,Japan,28.131
1986-10-01,Japan,47.15
1987-01-01,Japan,51.736
1987-04-01,Japan,38.254
1987-07-01,Japan,53.807
1987-10-01,Japan,71.807
1988-01-01,Japan,80.3
1988-04-01,Japan,79.596
1988-07-01,Japan,88.708
1988-10-01,Japan,103.738
1989-01-01,Japan,94.172
1989-04-01,Japan,76.462
1989-07-01,Japan,88.393
1989-10-01,Japan,90.527
1990-01-01,Japan,119.654
1990-04-01,Japan,106.965
1990-07-01,Japan,128.472
1990-10-01,Japan,124.773
1991-01-01,Japan,119.638
1991-04-01,Japan,115.049
1991-07-01,Japan,140.47
1991-10-01,Japan,153.436
1992-01-01,Japan,166.732
1992-04-01,Japan,141.886
1992-07-01,Japan,160.455
1992-10-01,Japan,160.807
1993-01-01,Japan,178.466
1993-04-01,Japan,151.904
1993-07-01,Japan,168.131
1993-10-01,Japan,172.358
1994-01-01,Japan,191.367
1994-04-01,Japan,158.207
1994-07-01,Japan,183.289
1994-10-01,Japan,188.273
1995-01-01,Japan,196.48
1995-04-01,Japan,174.307
1995-07-01,Japan,214.067
1995-10-01,Japan,197.85
1996-01-01,Japan,227.335
1996-04-01,Japan,174.325
1996-07-01,Japan,219.347
1996-10-01,Japan,192.137
1997-01-01,Japan,223.64
1997-04-01,Japan,167.269
1997-07-01,Japan,227.641
1997-10-01,Japan,195.35
1998-01-01,Japan,205.468
1998-04-01,Japan,168.52
1998-07-01,Japan,200.86
1998-10-01,Japan,176.235
1999-01-01,Japan,193.822
1999-04-01,Japan,154.86
1999-07-01,Japan,188.08
1999-10-01,Japan,170.689
2000-01-01,Japan,192.023
2000-04-01,Japan,154.701
2000-07-01,Japan,182.13
2000-10-01,Japan,192.135
2001-01-01,Japan,193.645
2001-04-01,Japan,156.303
2001-07-01,Japan,186.861
2001-10-01,Japan,136.748
2002-01-01,Japan,177.263
2002-04-01,Japan,158.357
2002-07-01,Japan,183.821
2002-10-01,Japan,196.006
2003-01-01,Japan,176.132
2003-04-01,Japan,102.633
2003-07-01,Japan,156.396
2003-10-01,Japan,192.591
2004-01-01,Japan,185.175
2004-04-01,Japan,153.363
2004-07-01,Japan,181.659
2004-10-01,Japan,190.143
2005-01-01,Japan,193.547
2005-04-01,Japan,135.461
2005-07-01,Japan,176.242
2005-10-01,Japan,180.085
2006-01-01,Japan,189.187
2006-04-01,Japan,128.92
2006-07-01,Japan,163.649
2006-10-01,Japan,169.314
2007-01-01,Japan,165.823
2007-04-01,Japan,111.484
2007-07-01,Japan,149.065
2007-10-01,Japan,146.673
2008-01-01,Japan,136.544
2008-04-01,Japan,88.879
2008-07-01,Japan,121.951
2008-10-01,Japan,109.858
2009-01-01,Japan,106.123
2009-04-01,Japan,65.748
2009-07-01,Japan,88.371
2009-10-01,Japan,95.214
2010-01-01,Japan,109.072
2010-04-01,Japan,71.253
2010-07-01,Japan,117.876
2010-10-01,Japan,99.987
2011-01-01,Japan,92.889
2011-04-01,Japan,53.397
2011-07-01,Japan,96.467
2011-10-01,Japan,89.9
2012-01-01,Japan,98.18
2012-04-01,Japan,59.76
2012-07-01,Japan,101.9
1981-01-01,NZ,49.14
1981-04-01,NZ,87.467
1981-07-01,NZ,85.841
1981-10-01,NZ,61.882
1982-01-01,NZ,42.045
1982-04-01,NZ,63.081
1982-07-01,NZ,73.275
1982-10-01,NZ,54.808
1983-01-01,NZ,41.03
1983-04-01,NZ,56.155
1983-07-01,NZ,69.395
1983-10-01,NZ,58.423
1984-01-01,NZ,37.039
1984-04-01,NZ,71.564
1984-07-01,NZ,71.26
1984-10-01,NZ,54.597
1985-01-01,NZ,41.646
1985-04-01,NZ,63.668
1985-07-01,NZ,67.803
1985-10-01,NZ,72.177
1986-01-01,NZ,55.192
1986-04-01,NZ,89.073
1986-07-01,NZ,97.746
1986-10-01,NZ,94.696
1987-01-01,NZ,71.13
1987-04-01,NZ,111.416
1987-07-01,NZ,127.619
1987-10-01,NZ,117.078
1988-01-01,NZ,90.498
1988-04-01,NZ,135.435
1988-07-01,NZ,176.899
1988-10-01,NZ,131.457
1989-01-01,NZ,83.029
1989-04-01,NZ,111.748
1989-07-01,NZ,128.51
1989-10-01,NZ,126.021
1990-01-01,NZ,75.584
1990-04-01,NZ,109.472
1990-07-01,NZ,122.164
1990-10-01,NZ,111.222
1991-01-01,NZ,90.067
1991-04-01,NZ,114.05
1991-07-01,NZ,152.662
1991-10-01,NZ,123.821
1992-01-01,NZ,75.376
1992-04-01,NZ,107.369
1992-07-01,NZ,128.55
1992-10-01,NZ,136.25
1993-01-01,NZ,90.758
1993-04-01,NZ,124.972
1993-07-01,NZ,153.153
1993-10-01,NZ,130.393
1994-01-01,NZ,90.095
1994-04-01,NZ,113.799
1994-07-01,NZ,148.605
1994-10-01,NZ,127.879
1995-01-01,NZ,95.295
1995-04-01,NZ,130.073
1995-07-01,NZ,166.383
1995-10-01,NZ,146.632
1996-01-01,NZ,132.41
1996-04-01,NZ,166.735
1996-07-01,NZ,205.12
1996-10-01,NZ,167.569
1997-01-01,NZ,142.502
1997-04-01,NZ,160.522
1997-07-01,NZ,205.25
1997-10-01,NZ,177.366
1998-01-01,NZ,128.179
1998-04-01,NZ,184.943
1998-07-01,NZ,212.263
1998-10-01,NZ,183.996
1999-01-01,NZ,143.015
1999-04-01,NZ,179.577
1999-07-01,NZ,215.732
1999-10-01,NZ,190.461
2000-01-01,NZ,154.537
2000-04-01,NZ,212.401
2000-07-01,NZ,229.048
2000-10-01,NZ,221.071
2001-01-01,NZ,162.48
2001-04-01,NZ,215.84
2001-07-01,NZ,233.074
2001-10-01,NZ,203.493
2002-01-01,NZ,159.879
2002-04-01,NZ,191.215
2002-07-01,NZ,226.008
2002-10-01,NZ,213
2003-01-01,NZ,150.7
2003-04-01,NZ,203.4
2003-07-01,NZ,241.8
2003-10-01,NZ,243.2
2004-01-01,NZ,188.873
2004-04-01,NZ,252.262
2004-07-01,NZ,312.956
2004-10-01,NZ,278.709
2005-01-01,NZ,219.527
2005-04-01,NZ,270.782
2005-07-01,NZ,325.633
2005-10-01,NZ,282.908
2006-01-01,NZ,212.323
2006-04-01,NZ,269.964
2006-07-01,NZ,307.149
2006-10-01,NZ,286.361
2007-01-01,NZ,219.885
2007-04-01,NZ,301.654
2007-07-01,NZ,320.737
2007-10-01,NZ,295.727
2008-01-01,NZ,222.77
2008-04-01,NZ,282.076
2008-07-01,NZ,304.979
2008-10-01,NZ,303.481
2009-01-01,NZ,221.287
2009-04-01,NZ,275.761
2009-07-01,NZ,311.431
2009-10-01,NZ,301.983
2010-01-01,NZ,228.162
2010-04-01,NZ,281.791
2010-07-01,NZ,330.812
2010-10-01,NZ,320.897
2011-01-01,NZ,239.103
2011-04-01,NZ,292.072
2011-07-01,NZ,311.994
2011-10-01,NZ,329.47
2012-01-01,NZ,247.91
2012-04-01,NZ,301.88
2012-07-01,NZ,319.84
1981-01-01,UK,45.266
1981-04-01,UK,19.886
1981-07-01,UK,24.839
1981-10-01,UK,52.264
1982-01-01,UK,53.636
1982-04-01,UK,34.802
1982-07-01,UK,31.126
1982-10-01,UK,53.619
1983-01-01,UK,43.423
1983-04-01,UK,23.421
1983-07-01,UK,29.142
1983-10-01,UK,51.771
1984-01-01,UK,44.182
1984-04-01,UK,24.92
1984-07-01,UK,27.566
1984-10-01,UK,48.88
1985-01-01,UK,49.563
1985-04-01,UK,23.867
1985-07-01,UK,25.895
1985-10-01,UK,54.092
1986-01-01,UK,54.903
1986-04-01,UK,26.089
1986-07-01,UK,28.248
1986-10-01,UK,66.813
1987-01-01,UK,61.167
1987-04-01,UK,32.4
1987-07-01,UK,33.287
1987-10-01,UK,72.115
1988-01-01,UK,81.925
1988-04-01,UK,42.091
1988-07-01,UK,46.253
1988-10-01,UK,90.062
1989-01-01,UK,84.191
1989-04-01,UK,48.709
1989-07-01,UK,46.905
1989-10-01,UK,93.075
1990-01-01,UK,81.185
1990-04-01,UK,53.693
1990-07-01,UK,48.037
1990-10-01,UK,94.827
1991-01-01,UK,79.365
1991-04-01,UK,52.961
1991-07-01,UK,42.366
1991-10-01,UK,89.041
1992-01-01,UK,87.85
1992-04-01,UK,57.261
1992-07-01,UK,51.058
1992-10-01,UK,93.736
1993-01-01,UK,95.137
1993-04-01,UK,55.661
1993-07-01,UK,56.4
1993-10-01,UK,103.089
1994-01-01,UK,100.25
1994-04-01,UK,57.464
1994-07-01,UK,61.831
1994-10-01,UK,115.736
1995-01-01,UK,112.684
1995-04-01,UK,64.209
1995-07-01,UK,59.287
1995-10-01,UK,111.719
1996-01-01,UK,108.173
1996-04-01,UK,64.632
1996-07-01,UK,64.742
1996-10-01,UK,129.994
1997-01-01,UK,126.261
1997-04-01,UK,65.146
1997-07-01,UK,74.071
1997-10-01,UK,145.139
1998-01-01,UK,143.115
1998-04-01,UK,82.747
1998-07-01,UK,78.303
1998-10-01,UK,163.356
1999-01-01,UK,160.239
1999-04-01,UK,81.152
1999-07-01,UK,107.941
1999-10-01,UK,179.102
2000-01-01,UK,161.953
2000-04-01,UK,105.394
2000-07-01,UK,107.231
2000-10-01,UK,205.874
2001-01-01,UK,184.901
2001-04-01,UK,107.454
2001-07-01,UK,121.889
2001-10-01,UK,202.988
2002-01-01,UK,206.655
2002-04-01,UK,95.564
2002-07-01,UK,115.95
2002-10-01,UK,224.496
2003-01-01,UK,196.276
2003-04-01,UK,107.563
2003-07-01,UK,125.171
2003-10-01,UK,243.894
2004-01-01,UK,205.423
2004-04-01,UK,111.924
2004-07-01,UK,125.132
2004-10-01,UK,233.761
2005-01-01,UK,235.242
2005-04-01,UK,105.37
2005-07-01,UK,131.141
2005-10-01,UK,237.053
2006-01-01,UK,224.933
2006-04-01,UK,116.211
2006-07-01,UK,123.808
2006-10-01,UK,269.292
2007-01-01,UK,231.686
2007-04-01,UK,108.543
2007-07-01,UK,122.734
2007-10-01,UK,226.031
2008-01-01,UK,230.109
2008-04-01,UK,107.43
2008-07-01,UK,115.758
2008-10-01,UK,218.864
2009-01-01,UK,210.109
2009-04-01,UK,113.973
2009-07-01,UK,116.517
2009-10-01,UK,223.178
2010-01-01,UK,213.568
2010-04-01,UK,99.497
2010-07-01,UK,108.208
2010-10-01,UK,225.395
2011-01-01,UK,188.56
2011-04-01,UK,110.212
2011-07-01,UK,107.089
2011-10-01,UK,202.24
2012-01-01,UK,194.64
2012-04-01,UK,92.97
2012-07-01,UK,101.69
1981-01-01,US,32.316
1981-04-01,US,23.721
1981-07-01,US,24.533
1981-10-01,US,33.438
1982-01-01,US,33.527
1982-04-01,US,28.366
1982-07-01,US,30.856
1982-10-01,US,33.293
1983-01-01,US,32.472
1983-04-01,US,32.369
1983-07-01,US,37.476
1983-10-01,US,38.112
1984-01-01,US,42.553
1984-04-01,US,41.277
1984-07-01,US,33.056
1984-10-01,US,44.472
1985-01-01,US,47.792
1985-04-01,US,43.07
1985-07-01,US,41.116
1985-10-01,US,65.428
1986-01-01,US,59.377
1986-04-01,US,53.283
1986-07-01,US,48.51
1986-10-01,US,85.878
1987-01-01,US,84.13
1987-04-01,US,64.347
1987-07-01,US,65.976
1987-10-01,US,96.165
1988-01-01,US,78.609
1988-04-01,US,69.306
1988-07-01,US,86.267
1988-10-01,US,92.738
1989-01-01,US,73.321
1989-04-01,US,59.819
1989-07-01,US,60.868
1989-10-01,US,67.761
1990-01-01,US,67.637
1990-04-01,US,56.153
1990-07-01,US,58.783
1990-10-01,US,69.018
1991-01-01,US,63.235
1991-04-01,US,56.691
1991-07-01,US,85.473
1991-10-01,US,66.332
1992-01-01,US,69.861
1992-04-01,US,61.501
1992-07-01,US,57.869
1992-10-01,US,73.632
1993-01-01,US,76.323
1993-04-01,US,62.718
1993-07-01,US,64.731
1993-10-01,US,77.495
1994-01-01,US,81.428
1994-04-01,US,63.554
1994-07-01,US,66.505
1994-10-01,US,78.19
1995-01-01,US,83.047
1995-04-01,US,67.448
1995-07-01,US,69.234
1995-10-01,US,85.16
1996-01-01,US,84.995
1996-04-01,US,71.005
1996-07-01,US,71.412
1996-10-01,US,89.483
1997-01-01,US,87.405
1997-04-01,US,73.061
1997-07-01,US,79.986
1997-10-01,US,89.141
1998-01-01,US,101.167
1998-04-01,US,85.384
1998-07-01,US,82.586
1998-10-01,US,104.76
1999-01-01,US,113.86
1999-04-01,US,92.494
1999-07-01,US,95.001
1999-10-01,US,115.704
2000-01-01,US,118.84
2000-04-01,US,107.313
2000-07-01,US,131.833
2000-10-01,US,130.1
2001-01-01,US,126.702
2001-04-01,US,113.471
2001-07-01,US,105.239
2001-10-01,US,101.058
2002-01-01,US,121.127
2002-04-01,US,97.016
2002-07-01,US,102.261
2002-10-01,US,114.103
2003-01-01,US,112.908
2003-04-01,US,94.212
2003-07-01,US,102.961
2003-10-01,US,112.039
2004-01-01,US,114.017
2004-04-01,US,101.065
2004-07-01,US,105.884
2004-10-01,US,112.335
2005-01-01,US,122.725
2005-04-01,US,104.542
2005-07-01,US,107.725
2005-10-01,US,111.286
2006-01-01,US,123.608
2006-04-01,US,109.865
2006-07-01,US,107.787
2006-10-01,US,114.824
2007-01-01,US,124.677
2007-04-01,US,108.089
2007-07-01,US,107.738
2007-10-01,US,119.189
2008-01-01,US,128.066
2008-04-01,US,99.471
2008-07-01,US,111.243
2008-10-01,US,115.636
2009-01-01,US,119.158
2009-04-01,US,105.507
2009-07-01,US,118.979
2009-10-01,US,136.094
2010-01-01,US,127.535
2010-04-01,US,105.974
2010-07-01,US,111.615
2010-10-01,US,127.002
2011-01-01,US,125.264
2011-04-01,US,101.814
2011-07-01,US,101.925
2011-10-01,US,127.15
2012-01-01,US,129.52
2012-04-01,US,105.7
2012-07-01,US,106.54
